,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
14911,-0.10028854243101212,157_left,4240_right,DOMAINE DU CLOS DU BOURG,Frankreich,white,Domaine Boudau Côtes du Roussillon 'Le Clos',Frankreich,red
3775,-0.10053283878005334,27_left,12284_right,CHÂTEAU DE LANCYRE Coste d'Aleyrac,Frankreich,red,Château La Coste Rosé d’une Nuit,Frankreich,rosé
977,-0.10155993931163344,8_left,10692_right,DOMAINE SAINTE SOPHIE,Frankreich,red,Domaine Houchart Sainte-Victoire Rosé,Frankreich,rosé
21026,-0.10206561152019997,229_left,118_right,HERZOG VON WÜRTTEMBERG,Deutschland,white,Von Winning Win Win Riesling,Deutschland,white
10331,-0.10673578774216745,97_left,3976_right,MUCHO MÁS,Spanien,red,Berceo Más de Berceo Graciano,Spanien,red
18443,-0.11007754381008021,194_left,2145_right,LA ZERBETTA Arneis,Italien,white,Prunotto Langhe Arneis,Italien,white
4283,-0.1138596661933404,32_left,7780_right,CHÂTEAU JACQUES NOIR,Frankreich,red,Jean-Jacques Auchère Sancerre,Frankreich,white
21840,-0.11741473755271202,239_left,4086_right,TABERNUS Edition S,Deutschland,white,Schloss Vollrads Edition Riesling,Deutschland,white
10971,-0.12389676488264947,105_left,669_right,CLUB PRIVADO Reserva,Spanien,red,Muga Reserva,Spanien,red
13611,-0.13478557150008105,140_left,1079_right,CREST Syrah,USA,red,Cusumano Syrah,Italien,red
7570,-0.13748396880060765,67_left,3999_right,TERRE DI SAN QUIRICO Silenzio,Italien,red,Nativ Eremo San Quirico,Italien,red
3300,-0.14034793787391725,23_left,1158_right,CHÂTEAU LAVILLE BERTROU,Frankreich,red,Château Malbec Bordeaux,Frankreich,red
358,-0.14034793787391725,3_left,1158_right,CHÂTEAU PECH-CÉLEYRAN,Frankreich,red,Château Malbec Bordeaux,Frankreich,red
8392,-0.14271838514618793,74_left,2644_right,FATTORIA DEL CERRO Vino Nobile,Italien,red,Poliziano Vino Nobile di Montepulciano,Italien,red
4931,-0.14790302312139264,38_left,4097_right,CASTELMAURE N°3,Frankreich,red,Uby No. 3 Colombard - Sauvignon,Frankreich,white
11684,-0.15460683834753494,114_left,5589_right,PURGATORI,Spanien,red,Familia Torres Purgatori Costers del Segre,Spanien,red
11129,-0.1551843418210998,107_left,1722_right,ABADÍA LA ARROYADA Crianza,Spanien,red,Protos Crianza,Spanien,red
12248,-0.16043976905499543,123_left,1216_right,HIRSCH Lemberger,Deutschland,red,Hirsch Zöbing Riesling,Österreich,white
19737,-0.1677871596346986,209_left,6098_right,DE MARTINO Legado Chardonnay,Chile,white,Valdivieso Chardonnay,Chile,white
