wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
1137258,Riesling Trocken,Robert Weil,Deutschland,Rheingau,2020,white,14.5,12.5
2929415,Grand Cru Sagrada Familia,Caballo Loco,Chile,Lontue Valley,2017,red,27.9,14.0
86571,Barbera d'Asti Le Orme,Michele Chiarlo,Italien,Barbera d'Asti,2019,red,12.95,13.5
96528,Kaitui Sauvignon Blanc,Schneider,Deutschland,Pfalz,2018,white,12.9,12.0
1208156,Pecorino (Unico),Tenuta Ulisse,Italien,Terre di Chieti,2020,white,8.9,13.0
1365665,Montepulciano d'Abruzzo Riserva,Fosso Corno,Italien,Montepulciano d'Abruzzo,2017,red,10.85,13.5
1370448,La Randa,SIGNÆ,Italien,Umbrien,2018,white,10.5,0.0
1153165,Wachenheimer Riesling,Dr. Bürklin-Wolf,Deutschland,Pfalz,2020,white,14.26,12.0
7275007,Grillo,Doppio Passo,Italien,Sizilien,2019,white,5.99,12.5
1433432,Reserva Vendimia Seleccionada,Viña Albina,Spanien,Rioja,2017,red,169.0,14.0
4537662,Curiós Tempranillo Ull de Llebre Penedès,Albet i Noya,Spanien,Penedès,2019,red,8.95,13.0
48994,Pauillac (Grand Cru Classé),Château Pédesclaux,Frankreich,Pauillac,2015,red,45.0,13.0
1247520,La Négrette Montlouis-sur-Loire,Le Rocher des Violettes,Frankreich,Montlouis-sur-Loire,2017,white,24.0,0.0
79093,Re Manfredi Aglianico del Vulture,Terre degli Svevi,Italien,Aglianico del Vulture,2017,red,11.85,13.5
61134,Barolo,Prunotto,Italien,Barolo,2014,red,37.9,13.5
54494,Sauvignon Blanc de Purcari,Château Purcari,Republik Moldau,South Eastern,2018,white,11.8,13.0
1193709,Reserva Tinto,São Miguel dos Descobridores,Portugal,Alentejano,2018,red,18.8,14.5
1756010,Wild Sauvignon,Greywacke,Neuseeland,Marlborough,2018,white,23.48,13.5
76786,Gran Reserva,Campo Viejo,Spanien,Rioja,2013,red,15.85,13.5
1275476,Castell de Raimat Chardonnay,Raimat,Spanien,Costers del Segre,2018,white,8.64,13.0
1693615,Cabernet,di Lenardo,Italien,Venezia Giulia,2015,red,7.75,12.5
1301826,Shiraz,Marianne,Südafrika,Stellenbosch,2013,red,29.95,13.0
89013,Rioja Reserva,Remelluri,Spanien,Rioja,2011,red,24.95,13.0
2307097,Critèra Primitivo,Schola Sarmenti,Italien,Salento,2019,red,9.5,13.5
2741,Limousin,Marqués de Riscal,Spanien,Rueda,2019,white,9.9,13.5
1134963,Mâcon-Villages Grange Magnien,Louis Jadot,Frankreich,Mâcon-Villages,2018,white,13.95,0.0
77021,Crianza Rioja,Ramón Bilbao,Spanien,Rioja,2017,red,9.95,14.0
1666372,Tinto (Malbec),Amalaya,Argentinien,Salta,2019,red,8.9,14.0
1290652,Idus,Vall Llach,Spanien,Priorat,2019,red,34.9,15.5
5889993,Les Vénérables Chablis,La Chablisienne,Frankreich,Chablis,2017,white,16.9,12.5
6678281,Vigna San Francesco Cabernet Sauvignon,Tasca d'Almerita,Italien,Sizilien,2016,red,32.9,14.5
1223357,Malvazija,Kozlović,Kroatien,Istrien,2020,white,12.9,13.0
1154148,Le Grillaie Vernaccia di San Gimignano,Melini,Italien,Vernaccia di San Gimignano,2019,white,7.65,12.0
1380075,Ripassa Valpolicella Ripasso Superiore,Zenato,Italien,Valpolicella Ripasso,2011,red,19.99,14.0
1125489,Bordeaux Supérieur,Château Recougne,Frankreich,Bordeaux Supérieur,2018,red,8.91,14.5
10251,Rioja Gran Reserva,Marqués de Cáceres,Spanien,Rioja,2011,red,22.9,14.0
1136902,I Frati Lugana,Cà dei Frati,Italien,Lugana,2016,white,11.24,13.0
77446,Perbacco Nebbiolo,Vietti,Italien,Langhe,2018,red,17.95,14.0
1741875,"Pi - 3,1415 Blanc",Bodegas Langa,Spanien,Aragón,2019,white,12.95,0.0
2080908,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Château Latour-Martillac,Frankreich,Pessac-Léognan,2017,white,45.0,13.5
1203204,Armentino Negroamaro -  Primitivo,Schola Sarmenti,Italien,Salento,2018,red,12.99,0.0
2142553,Massifitti Trebbiano di Soave,Suavia,Italien,Verona,2017,white,11.95,12.5
1181767,Pittermännchen Riesling GG,Diel,Deutschland,Nahe,2018,white,39.7,12.5
4647602,Smiley Chenin Blanc,Silwervis,Südafrika,Swartland,N.V.,white,15.29,13.0
75190,Rouge (Gaston Hochar),Château Musar,Libanon,Bekaa Valley,2006,red,59.9,14.0
2041250,Sauvignon Blanc 500,Von Winning,Deutschland,Pfalz,2018,white,40.0,13.0
1152637,Sauvignon Blanc,Attems,Italien,Friuli-Venezia Giulia,2020,white,10.5,12.5
