,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_region_left,wine_type_left,full_name_right,wine_country_right,wine_region_right,wine_type_right
3751,0.5908509135318469,22_left,2179_right,Alain Jaume & Fils (Domaine Grand Veneur) Gigondas A.C. Terrasses de Montmirail,Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
15571,0.5330677048772421,82_left,6_right,Nicolas Duffour Les Aubas Sauvignon Blanc & Gros-Manseng Medium I.G.P. Côtes de Gascogne,Frankreich,Gascogne,white,Horgelus Côtes de Gascogne Sauvignon - Gros Manseng,Frankreich,Côtes de Gascogne,white
18627,0.5175643542632344,103_left,2578_right,"Grand Veneur Côtes du Rhône A.C. Blanc 0,375l",Frankreich,Côtes du Rhône,white,E. Guigal Côtes-du-Rhône Blanc,Frankreich,Côtes-du-Rhône,white
7252,0.5100329988299791,40_left,2179_right,Grand Veneur Côtes du Rhône A.C. Rouge,Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
15655,0.49981799717922637,83_left,6_right,Nicolas Duffour Les Aubas Gros-Manseng I.G.P. Côtes de Gascogne,Frankreich,Gascogne,white,Horgelus Côtes de Gascogne Sauvignon - Gros Manseng,Frankreich,Côtes de Gascogne,white
16499,0.49505262776458275,91_left,8618_right,Hermanos del Villar Oro de Castilla Sauvignon Blanc D.O. Rueda,Spanien,Rueda,white,Hnos. del Villar Oro de Castilla Verdejo,Spanien,Rueda,white
1726,0.473004261300149,8_left,306_right,Hermanos del Villar Gaudeamus Roble D.O. Ribera del Duero,Spanien,Ribera del Duero,red,Legaris Ribera del Duero Roble,Spanien,Ribera del Duero,red
22984,0.45154009341210816,128_left,10273_right,Antech Crémant de Limoux A.C. Brut Cuvée Elixir,Frankreich,Languedoc-Roussillon,sparkling,Antech Grande Cuvée Crémant de Limoux Brut,Frankreich,Crémant de Limoux,sparkling
21805,0.4511035398852322,119_left,12185_right,"Grand Veneur Côtes du Rhône A.C. Rosé ""Bellissimé"" 0,375l",Frankreich,Côtes du Rhône,rosé,E. Guigal Côtes-du-Rhône Rosé,Frankreich,Côtes-du-Rhône,rosé
15721,0.4500335085584447,84_left,297_right,Château Puyanché Francs Côtes de Bordeaux A.C. Blanc Sec,Frankreich,Bordeaux,white,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
3924,0.44720328640168877,23_left,2179_right,Alain Jaume & Fils (Domaine Grand Veneur) Vacqueyras A.C. La Grande Garrigue,Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
23184,0.4148836925804147,131_left,10273_right,Antech Crémant de Limoux A.C. Brut Cuvée Héritage,Frankreich,Languedoc-Roussillon,sparkling,Antech Grande Cuvée Crémant de Limoux Brut,Frankreich,Crémant de Limoux,sparkling
14934,0.38469002041971195,79_left,846_right,Weingut Hain Piesporter Goldtröpfchen Riesling Kabinett trocken,Deutschland,Mosel,white,Weingut Reinhold Haart Goldtröpfchen Kabinett,Deutschland,Mosel,white
14552,0.3644555639696746,77_left,5647_right,Weingut Hain Piesporter Riesling Q.b.A. feinherb,Deutschland,Mosel,white,Weingut Hain Piesporter Riesling Trocken,Deutschland,Piesport,white
8326,0.291629800251347,47_left,2179_right,"Grand Veneur Côtes du Rhône A.C. Rouge 0,375l",Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
19581,0.2795307433615993,108_left,7645_right,Specogna Pinot Grigio Venezia Giulia,Italien,Friaul - Julisch Venetien,rosé,Lis Neris Venezia Giulia Pinot Grigio,Italien,Venezia Giulia,white
22651,0.2795307433615993,126_left,7645_right,Specogna Pinot Grigio Venezia Giulia,Italien,Friaul - Julisch Venetien,rosé,Lis Neris Venezia Giulia Pinot Grigio,Italien,Venezia Giulia,white
5065,0.2704981774482897,30_left,6636_right,Teanum ÒTRE Primitivo I.G.T. Puglia,Italien,Apulien,red,Teanum Òtre Primitivo,Italien,Puglia,red
1776,0.2577731783722259,9_left,6636_right,"Teanum ÒTRE Negroamaro ""Fish""",Italien,Apulien,red,Teanum Òtre Primitivo,Italien,Puglia,red
22616,0.23961374771436414,125_left,10029_right,Bagordi Rosado D.O.C. Rioja,Spanien,Rioja,rosé,Marqués de Cáceres Rioja Rosado,Spanien,Rioja,rosé
15724,0.22803566532216699,85_left,922_right,Domaine Grand Veneur Blanc de Viognier Côtes du Rhône A.C.,Frankreich,Côtes du Rhône,white,Château de Beaucastel Coudoulet de Beaucastel Côtes du Rhône Blanc,Frankreich,Côtes-du-Rhône,white
