,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
68953,0.9569680744831782,650_left,6150_right,"riesling trocken ""vulkangestein""",weingut schäfer-fröhlich, Deutschland ,Nahe,white,riesling trocken,schäfer-fröhlich,Deutschland,Nahe,white
51483,0.9569680744831782,406_left,6150_right,"riesling trocken ""vulkangestein""",weingut schäfer-fröhlich, Deutschland ,Nahe,white,riesling trocken,schäfer-fröhlich,Deutschland,Nahe,white
62419,0.9557211233420174,563_left,244_right,riesling alte reben saar,weingut markus molitor, Deutschland ,Saar,white,saar alte reben riesling,markus molitor,Deutschland,Mosel,white
49847,0.949727811156123,384_left,3097_right,riesling trocken laumersheimer 'vom kalksteinfels',weingut philipp kuhn, Deutschland ,Pfalz,white,riesling vom kalksteinfels,philipp kuhn,Deutschland,Pfalz,white
81850,0.9392003479235949,799_left,3040_right,riesling großes gewächs hipping,weingut kühling-gillot, Deutschland ,Rheinhessen,white,hipping riesling,kühling-gillot,Deutschland,Rheinhessen,white
63957,0.9392003479235949,591_left,3040_right,riesling großes gewächs hipping,weingut kühling-gillot, Deutschland ,Rheinhessen,white,hipping riesling,kühling-gillot,Deutschland,Rheinhessen,white
85221,0.9392003479235949,849_left,3040_right,riesling großes gewächs hipping,weingut kühling-gillot, Deutschland ,Rheinhessen,white,hipping riesling,kühling-gillot,Deutschland,Rheinhessen,white
61766,0.9380975687772215,534_left,182_right,sauvignon blanc kaitui,markus schneider, Deutschland ,Pfalz,white,kaitui sauvignon blanc,schneider,Deutschland,Pfalz,white
86019,0.9352144131472014,859_left,5531_right,riesling großes gewächs felsenberg magnum,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
66132,0.9352144131472014,617_left,5531_right,riesling großes gewächs felsenberg magnum,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
