,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_thumb,wine_url,wine_seller
532,"Mercurey Blanc 1er Cru ""Les Champs Martin""",Domaine Lorenzon, Frankreich ,Bourgogne, 2019 ,white,46.9,14.5,https://www.wein-direktimport.de/media/image/96/d1/f0/Champ-Martin-BLANC-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-chalonnaise/domaine-lorenzon/3883/2019-mercurey-blanc-1er-cru-les-champs-martin?c=559,1
533,Roero Arneis,Vietti, Italien ,Piemont, 2020 ,white,16.5,13.5,https://www.wein-direktimport.de/media/image/45/94/0e/Roero-Arneis-IiFfBlVtBko2xbk_200x300.jpg,https://www.wein-direktimport.de/weine/italien/piemont/vietti/3861/2020-roero-arneis?c=559,1
534,Chardonnay Estate Santa Cruz,Ridge Vineyards, USA ,Santa Cruz Montains, 2019 ,white,55.0,14.0,https://www.wein-direktimport.de/media/image/08/5b/4e/2019-Chardonnay-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/usa/kalifornien/ridge-vineyards/3852/2019-chardonnay-estate-santa-cruz?c=559,1
535,Rueda Blanco D.O. 'BASA',Telmo Rodriguez, Spanien ,Kastilien-Léon, 2020 ,white,7.95,13.0,https://www.wein-direktimport.de/media/image/50/df/71/BasaZIP_200x300.jpg,https://www.wein-direktimport.de/weine/spanien/rueda/compania-de-vinos-telmo-rodriguez/3857/2020-rueda-blanco-d.o.-basa?c=559,1
536,Spätlese Cuvée,Weingut Kracher, Österreich ,Burgenland, 2018 ,white,10.5,10.0,https://www.wein-direktimport.de/media/image/ef/22/8d/Sp-tlese-Cuv-e-2018ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/burgenland/weingut-kracher/3853/2018-spaetlese-cuvee?c=559,1
537,Sauvignon Blanc KAITUI,Markus Schneider, Deutschland ,Pfalz, 2020 ,white,12.9,12.0,https://www.wein-direktimport.de/media/image/c7/0c/4f/KAITUI-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-markus-schneider/3760/2020-sauvignon-blanc-kaitui?c=559,1
538,Chardonnay,Markus Schneider, Deutschland ,Pfalz, 2020 ,white,10.7,13.0,https://www.wein-direktimport.de/media/image/f5/51/5d/ChardonnayZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-markus-schneider/3758/2020-chardonnay?c=559,1
539,"Sauvignon Blanc ""Kaitui"" Magnum",Markus Schneider, Deutschland ,Pfalz, 2020 ,white,27.8,12.0,https://www.wein-direktimport.de/media/image/37/bd/92/Kaitui-MagnumZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-markus-schneider/3762/2020-sauvignon-blanc-kaitui-magnum?c=559,1
540,Grüner Veltliner Ried Lamm Erste Lage ÖTW,Schloss Gobelsburg, Österreich ,Kamptal, 2019 ,white,35.9,13.5,https://www.wein-direktimport.de/media/image/45/a1/65/Ried-Lamm-750-ml-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/kamptal/weingut-schloss-gobelsburg/3822/2019-gruener-veltliner-ried-lamm-erste-lage-oetw?c=559,1
541,Grüner Veltliner Ried Lamm Erste Lage ÖTW Magnum,Schloss Gobelsburg, Österreich ,Kamptal, 2019 ,white,78.0,13.5,https://www.wein-direktimport.de/media/image/eb/06/47/Ried-Lamm-1500-ml-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/kamptal/weingut-schloss-gobelsburg/3819/2019-gruener-veltliner-ried-lamm-erste-lage-oetw-magnum?c=559,1
